"","county","count","year","month","state"
"1","Locality: 001 ACCOMACK COUNTY",22364,"2017","02","VA"
"17","Locality: 003 ALBEMARLE COUNTY",70587,"2017","02","VA"
"45","Locality: 005 ALLEGHANY COUNTY",10031,"2017","02","VA"
"57","Locality: 007 AMELIA COUNTY",8840,"2017","02","VA"
"62","Locality: 009 AMHERST COUNTY",20118,"2017","02","VA"
"73","Locality: 011 APPOMATTOX COUNTY",10357,"2017","02","VA"
"82","Locality: 013 ARLINGTON COUNTY",150315,"2017","02","VA"
"134","Locality: 015 AUGUSTA COUNTY",46002,"2017","02","VA"
"159","Locality: 017 BATH COUNTY",3097,"2017","02","VA"
"166","Locality: 019 BEDFORD COUNTY",53021,"2017","02","VA"
"197","Locality: 021 BLAND COUNTY",4344,"2017","02","VA"
"204","Locality: 023 BOTETOURT COUNTY",23087,"2017","02","VA"
"214","Locality: 025 BRUNSWICK COUNTY",10290,"2017","02","VA"
"227","Locality: 027 BUCHANAN COUNTY",14884,"2017","02","VA"
"244","Locality: 029 BUCKINGHAM COUNTY",9855,"2017","02","VA"
"254","Locality: 031 CAMPBELL COUNTY",35704,"2017","02","VA"
"270","Locality: 033 CAROLINE COUNTY",18687,"2017","02","VA"
"282","Locality: 035 CARROLL COUNTY",18369,"2017","02","VA"
"300","Locality: 036 CHARLES CITY COUNTY",5256,"2017","02","VA"
"303","Locality: 037 CHARLOTTE COUNTY",7841,"2017","02","VA"
"310","Locality: 041 CHESTERFIELD COUNTY",221057,"2017","02","VA"
"385","Locality: 043 CLARKE COUNTY",10174,"2017","02","VA"
"392","Locality: 045 CRAIG COUNTY",3658,"2017","02","VA"
"400","Locality: 047 CULPEPER COUNTY",29510,"2017","02","VA"
"415","Locality: 049 CUMBERLAND COUNTY",6505,"2017","02","VA"
"420","Locality: 051 DICKENSON COUNTY",9854,"2017","02","VA"
"430","Locality: 053 DINWIDDIE COUNTY",18084,"2017","02","VA"
"443","Locality: 057 ESSEX COUNTY",7279,"2017","02","VA"
"447","Locality: 059 FAIRFAX COUNTY",693876,"2017","02","VA"
"690","Locality: 061 FAUQUIER COUNTY",46853,"2017","02","VA"
"710","Locality: 063 FLOYD COUNTY",10385,"2017","02","VA"
"715","Locality: 065 FLUVANNA COUNTY",17081,"2017","02","VA"
"720","Locality: 067 FRANKLIN COUNTY",34449,"2017","02","VA"
"743","Locality: 069 FREDERICK COUNTY",53202,"2017","02","VA"
"764","Locality: 071 GILES COUNTY",10805,"2017","02","VA"
"773","Locality: 073 GLOUCESTER COUNTY",25851,"2017","02","VA"
"784","Locality: 075 GOOCHLAND COUNTY",16790,"2017","02","VA"
"794","Locality: 077 GRAYSON COUNTY",9902,"2017","02","VA"
"809","Locality: 079 GREENE COUNTY",12393,"2017","02","VA"
"814","Locality: 081 GREENSVILLE COUNTY",6146,"2017","02","VA"
"823","Locality: 083 HALIFAX COUNTY",22816,"2017","02","VA"
"844","Locality: 085 HANOVER COUNTY",74016,"2017","02","VA"
"880","Locality: 087 HENRICO COUNTY",206189,"2017","02","VA"
"973","Locality: 089 HENRY COUNTY",33408,"2017","02","VA"
"997","Locality: 091 HIGHLAND COUNTY",1761,"2017","02","VA"
"1003","Locality: 093 ISLE OF WIGHT COUNTY",26098,"2017","02","VA"
"1017","Locality: 095 JAMES CITY COUNTY",52853,"2017","02","VA"
"1036","Locality: 097 KING & QUEEN COUNTY",4779,"2017","02","VA"
"1041","Locality: 099 KING GEORGE COUNTY",15585,"2017","02","VA"
"1046","Locality: 101 KING WILLIAM COUNTY",11425,"2017","02","VA"
"1052","Locality: 103 LANCASTER COUNTY",8290,"2017","02","VA"
"1058","Locality: 105 LEE COUNTY",14433,"2017","02","VA"
"1074","Locality: 107 LOUDOUN COUNTY",226295,"2017","02","VA"
"1167","Locality: 109 LOUISA COUNTY",22641,"2017","02","VA"
"1182","Locality: 111 LUNENBURG COUNTY",7435,"2017","02","VA"
"1193","Locality: 113 MADISON COUNTY",8769,"2017","02","VA"
"1202","Locality: 115 MATHEWS COUNTY",6675,"2017","02","VA"
"1205","Locality: 117 MECKLENBURG COUNTY",20256,"2017","02","VA"
"1228","Locality: 119 MIDDLESEX COUNTY",7586,"2017","02","VA"
"1234","Locality: 121 MONTGOMERY COUNTY",55238,"2017","02","VA"
"1258","Locality: 125 NELSON COUNTY",10517,"2017","02","VA"
"1267","Locality: 127 NEW KENT COUNTY",14513,"2017","02","VA"
"1277","Locality: 131 NORTHAMPTON COUNTY",8587,"2017","02","VA"
"1282","Locality: 133 NORTHUMBERLAND COUNTY",9231,"2017","02","VA"
"1288","Locality: 135 NOTTOWAY COUNTY",8656,"2017","02","VA"
"1297","Locality: 137 ORANGE COUNTY",22468,"2017","02","VA"
"1307","Locality: 139 PAGE COUNTY",14815,"2017","02","VA"
"1312","Locality: 141 PATRICK COUNTY",11547,"2017","02","VA"
"1325","Locality: 143 PITTSYLVANIA COUNTY",41218,"2017","02","VA"
"1354","Locality: 145 POWHATAN COUNTY",20026,"2017","02","VA"
"1366","Locality: 147 PRINCE EDWARD COUNTY",12640,"2017","02","VA"
"1376","Locality: 149 PRINCE GEORGE COUNTY",21033,"2017","02","VA"
"1386","Locality: 153 PRINCE WILLIAM COUNTY",254188,"2017","02","VA"
"1477","Locality: 155 PULASKI COUNTY",20847,"2017","02","VA"
"1489","Locality: 157 RAPPAHANNOCK COUNTY",5564,"2017","02","VA"
"1495","Locality: 159 RICHMOND COUNTY",4866,"2017","02","VA"
"1500","Locality: 161 ROANOKE COUNTY",65222,"2017","02","VA"
"1532","Locality: 163 ROCKBRIDGE COUNTY",13887,"2017","02","VA"
"1549","Locality: 165 ROCKINGHAM COUNTY",47150,"2017","02","VA"
"1579","Locality: 167 RUSSELL COUNTY",17984,"2017","02","VA"
"1594","Locality: 169 SCOTT COUNTY",14496,"2017","02","VA"
"1611","Locality: 171 SHENANDOAH COUNTY",26693,"2017","02","VA"
"1623","Locality: 173 SMYTH COUNTY",18165,"2017","02","VA"
"1637","Locality: 175 SOUTHAMPTON COUNTY",11695,"2017","02","VA"
"1650","Locality: 177 SPOTSYLVANIA COUNTY",81915,"2017","02","VA"
"1676","Locality: 179 STAFFORD COUNTY",84812,"2017","02","VA"
"1703","Locality: 181 SURRY COUNTY",5250,"2017","02","VA"
"1710","Locality: 183 SUSSEX COUNTY",6600,"2017","02","VA"
"1721","Locality: 185 TAZEWELL COUNTY",26460,"2017","02","VA"
"1745","Locality: 187 WARREN COUNTY",23962,"2017","02","VA"
"1756","Locality: 191 WASHINGTON COUNTY",34437,"2017","02","VA"
"1775","Locality: 193 WESTMORELAND COUNTY",11501,"2017","02","VA"
"1783","Locality: 195 WISE COUNTY",21900,"2017","02","VA"
"1795","Locality: 197 WYTHE COUNTY",18028,"2017","02","VA"
"1806","Locality: 199 YORK COUNTY",42022,"2017","02","VA"
"1819","Locality: 510 ALEXANDRIA CITY",93453,"2017","02","VA"
"1846","Locality: 520 BRISTOL CITY",10203,"2017","02","VA"
"1850","Locality: 530 BUENA VISTA CITY",3658,"2017","02","VA"
"1852","Locality: 540 CHARLOTTESVILLE CITY",29524,"2017","02","VA"
"1861","Locality: 550 CHESAPEAKE CITY",144697,"2017","02","VA"
"1924","Locality: 570 COLONIAL HEIGHTS CITY",11489,"2017","02","VA"
"1929","Locality: 580 COVINGTON CITY",3432,"2017","02","VA"
"1934","Locality: 590 DANVILLE CITY",26096,"2017","02","VA"
"1950","Locality: 595 EMPORIA CITY",3462,"2017","02","VA"
"1957","Locality: 600 FAIRFAX CITY",15001,"2017","02","VA"
"1963","Locality: 610 FALLS CHURCH CITY",9334,"2017","02","VA"
"1966","Locality: 620 FRANKLIN CITY",5264,"2017","02","VA"
"1972","Locality: 630 FREDERICKSBURG CITY",15289,"2017","02","VA"
"1977","Locality: 640 GALAX CITY",3409,"2017","02","VA"
"1980","Locality: 650 HAMPTON CITY",84603,"2017","02","VA"
"2010","Locality: 660 HARRISONBURG CITY",23219,"2017","02","VA"
"2018","Locality: 670 HOPEWELL CITY",12991,"2017","02","VA"
"2025","Locality: 678 LEXINGTON CITY",3700,"2017","02","VA"
"2026","Locality: 680 LYNCHBURG CITY",48780,"2017","02","VA"
"2044","Locality: 683 MANASSAS CITY",20424,"2017","02","VA"
"2049","Locality: 685 MANASSAS PARK CITY",7059,"2017","02","VA"
"2052","Locality: 690 MARTINSVILLE CITY",8151,"2017","02","VA"
"2058","Locality: 700 NEWPORT NEWS CITY",105693,"2017","02","VA"
"2103","Locality: 710 NORFOLK CITY",113821,"2017","02","VA"
"2152","Locality: 720 NORTON CITY",2178,"2017","02","VA"
"2153","Locality: 730 PETERSBURG CITY",19494,"2017","02","VA"
"2160","Locality: 735 POQUOSON CITY",8622,"2017","02","VA"
"2163","Locality: 740 PORTSMOUTH CITY",58411,"2017","02","VA"
"2194","Locality: 750 RADFORD CITY",8449,"2017","02","VA"
"2197","Locality: 760 RICHMOND CITY",134151,"2017","02","VA"
"2262","Locality: 770 ROANOKE CITY",54038,"2017","02","VA"
"2283","Locality: 775 SALEM CITY",15929,"2017","02","VA"
"2293","Locality: 790 STAUNTON CITY",15026,"2017","02","VA"
"2298","Locality: 800 SUFFOLK CITY",56590,"2017","02","VA"
"2326","Locality: 810 VIRGINIA BEACH CITY",279443,"2017","02","VA"
"2424","Locality: 820 WAYNESBORO CITY",12210,"2017","02","VA"
"2428","Locality: 830 WILLIAMSBURG CITY",9418,"2017","02","VA"
"2430","Locality: 840 WINCHESTER CITY",14534,"2017","02","VA"
"2436","Locality: 001 ACCOMACK COUNTY",22524,"2017","03","VA"
"2452","Locality: 003 ALBEMARLE COUNTY",70747,"2017","03","VA"
"2480","Locality: 005 ALLEGHANY COUNTY",10051,"2017","03","VA"
"2492","Locality: 007 AMELIA COUNTY",8830,"2017","03","VA"
"2497","Locality: 009 AMHERST COUNTY",20136,"2017","03","VA"
"2508","Locality: 011 APPOMATTOX COUNTY",10373,"2017","03","VA"
"2517","Locality: 013 ARLINGTON COUNTY",150894,"2017","03","VA"
"2569","Locality: 015 AUGUSTA COUNTY",46080,"2017","03","VA"
"2594","Locality: 017 BATH COUNTY",3097,"2017","03","VA"
"2601","Locality: 019 BEDFORD COUNTY",53117,"2017","03","VA"
"2632","Locality: 021 BLAND COUNTY",4349,"2017","03","VA"
"2639","Locality: 023 BOTETOURT COUNTY",23053,"2017","03","VA"
"2649","Locality: 025 BRUNSWICK COUNTY",10297,"2017","03","VA"
"2662","Locality: 027 BUCHANAN COUNTY",14868,"2017","03","VA"
"2679","Locality: 029 BUCKINGHAM COUNTY",9862,"2017","03","VA"
"2689","Locality: 031 CAMPBELL COUNTY",35782,"2017","03","VA"
"2705","Locality: 033 CAROLINE COUNTY",18732,"2017","03","VA"
"2717","Locality: 035 CARROLL COUNTY",18397,"2017","03","VA"
"2735","Locality: 036 CHARLES CITY COUNTY",5273,"2017","03","VA"
"2738","Locality: 037 CHARLOTTE COUNTY",7868,"2017","03","VA"
"2745","Locality: 041 CHESTERFIELD COUNTY",222211,"2017","03","VA"
"2820","Locality: 043 CLARKE COUNTY",10220,"2017","03","VA"
"2827","Locality: 045 CRAIG COUNTY",3671,"2017","03","VA"
"2835","Locality: 047 CULPEPER COUNTY",29612,"2017","03","VA"
"2850","Locality: 049 CUMBERLAND COUNTY",6499,"2017","03","VA"
"2855","Locality: 051 DICKENSON COUNTY",9872,"2017","03","VA"
"2865","Locality: 053 DINWIDDIE COUNTY",18112,"2017","03","VA"
"2878","Locality: 057 ESSEX COUNTY",7276,"2017","03","VA"
"2882","Locality: 059 FAIRFAX COUNTY",694492,"2017","03","VA"
"3125","Locality: 061 FAUQUIER COUNTY",46896,"2017","03","VA"
"3145","Locality: 063 FLOYD COUNTY",10382,"2017","03","VA"
"3150","Locality: 065 FLUVANNA COUNTY",17141,"2017","03","VA"
"3155","Locality: 067 FRANKLIN COUNTY",34508,"2017","03","VA"
"3178","Locality: 069 FREDERICK COUNTY",53618,"2017","03","VA"
"3199","Locality: 071 GILES COUNTY",10817,"2017","03","VA"
"3208","Locality: 073 GLOUCESTER COUNTY",25891,"2017","03","VA"
"3219","Locality: 075 GOOCHLAND COUNTY",16817,"2017","03","VA"
"3229","Locality: 077 GRAYSON COUNTY",9905,"2017","03","VA"
"3244","Locality: 079 GREENE COUNTY",12446,"2017","03","VA"
"3249","Locality: 081 GREENSVILLE COUNTY",6154,"2017","03","VA"
"3258","Locality: 083 HALIFAX COUNTY",22832,"2017","03","VA"
"3279","Locality: 085 HANOVER COUNTY",74122,"2017","03","VA"
"3315","Locality: 087 HENRICO COUNTY",206619,"2017","03","VA"
"3408","Locality: 089 HENRY COUNTY",33440,"2017","03","VA"
"3432","Locality: 091 HIGHLAND COUNTY",1764,"2017","03","VA"
"3438","Locality: 093 ISLE OF WIGHT COUNTY",26207,"2017","03","VA"
"3452","Locality: 095 JAMES CITY COUNTY",52944,"2017","03","VA"
"3471","Locality: 097 KING & QUEEN COUNTY",4782,"2017","03","VA"
"3476","Locality: 099 KING GEORGE COUNTY",15637,"2017","03","VA"
"3481","Locality: 101 KING WILLIAM COUNTY",11447,"2017","03","VA"
"3487","Locality: 103 LANCASTER COUNTY",8301,"2017","03","VA"
"3493","Locality: 105 LEE COUNTY",14423,"2017","03","VA"
"3509","Locality: 107 LOUDOUN COUNTY",227813,"2017","03","VA"
"3602","Locality: 109 LOUISA COUNTY",22684,"2017","03","VA"
"3617","Locality: 111 LUNENBURG COUNTY",7445,"2017","03","VA"
"3628","Locality: 113 MADISON COUNTY",8794,"2017","03","VA"
"3637","Locality: 115 MATHEWS COUNTY",6677,"2017","03","VA"
"3640","Locality: 117 MECKLENBURG COUNTY",20281,"2017","03","VA"
"3663","Locality: 119 MIDDLESEX COUNTY",7597,"2017","03","VA"
"3669","Locality: 121 MONTGOMERY COUNTY",55294,"2017","03","VA"
"3693","Locality: 125 NELSON COUNTY",10530,"2017","03","VA"
"3702","Locality: 127 NEW KENT COUNTY",14557,"2017","03","VA"
"3712","Locality: 131 NORTHAMPTON COUNTY",8669,"2017","03","VA"
"3717","Locality: 133 NORTHUMBERLAND COUNTY",9221,"2017","03","VA"
"3723","Locality: 135 NOTTOWAY COUNTY",8669,"2017","03","VA"
"3732","Locality: 137 ORANGE COUNTY",22550,"2017","03","VA"
"3742","Locality: 139 PAGE COUNTY",14833,"2017","03","VA"
"3747","Locality: 141 PATRICK COUNTY",11557,"2017","03","VA"
"3760","Locality: 143 PITTSYLVANIA COUNTY",41231,"2017","03","VA"
"3789","Locality: 145 POWHATAN COUNTY",20067,"2017","03","VA"
"3801","Locality: 147 PRINCE EDWARD COUNTY",12645,"2017","03","VA"
"3811","Locality: 149 PRINCE GEORGE COUNTY",21041,"2017","03","VA"
"3821","Locality: 153 PRINCE WILLIAM COUNTY",255253,"2017","03","VA"
"3912","Locality: 155 PULASKI COUNTY",20871,"2017","03","VA"
"3924","Locality: 157 RAPPAHANNOCK COUNTY",5579,"2017","03","VA"
"3930","Locality: 159 RICHMOND COUNTY",4902,"2017","03","VA"
"3935","Locality: 161 ROANOKE COUNTY",65268,"2017","03","VA"
"3967","Locality: 163 ROCKBRIDGE COUNTY",13916,"2017","03","VA"
"3984","Locality: 165 ROCKINGHAM COUNTY",47208,"2017","03","VA"
"4014","Locality: 167 RUSSELL COUNTY",17972,"2017","03","VA"
"4029","Locality: 169 SCOTT COUNTY",14465,"2017","03","VA"
"4046","Locality: 171 SHENANDOAH COUNTY",26775,"2017","03","VA"
"4058","Locality: 173 SMYTH COUNTY",18193,"2017","03","VA"
"4072","Locality: 175 SOUTHAMPTON COUNTY",11674,"2017","03","VA"
"4085","Locality: 177 SPOTSYLVANIA COUNTY",82160,"2017","03","VA"
"4111","Locality: 179 STAFFORD COUNTY",85101,"2017","03","VA"
"4138","Locality: 181 SURRY COUNTY",5242,"2017","03","VA"
"4145","Locality: 183 SUSSEX COUNTY",6601,"2017","03","VA"
"4156","Locality: 185 TAZEWELL COUNTY",26533,"2017","03","VA"
"4180","Locality: 187 WARREN COUNTY",24014,"2017","03","VA"
"4191","Locality: 191 WASHINGTON COUNTY",34449,"2017","03","VA"
"4210","Locality: 193 WESTMORELAND COUNTY",11526,"2017","03","VA"
"4218","Locality: 195 WISE COUNTY",21920,"2017","03","VA"
"4230","Locality: 197 WYTHE COUNTY",18057,"2017","03","VA"
"4241","Locality: 199 YORK COUNTY",42092,"2017","03","VA"
"4254","Locality: 510 ALEXANDRIA CITY",93660,"2017","03","VA"
"4281","Locality: 520 BRISTOL CITY",10172,"2017","03","VA"
"4285","Locality: 530 BUENA VISTA CITY",3663,"2017","03","VA"
"4287","Locality: 540 CHARLOTTESVILLE CITY",29514,"2017","03","VA"
"4296","Locality: 550 CHESAPEAKE CITY",145196,"2017","03","VA"
"4359","Locality: 570 COLONIAL HEIGHTS CITY",11504,"2017","03","VA"
"4364","Locality: 580 COVINGTON CITY",3433,"2017","03","VA"
"4369","Locality: 590 DANVILLE CITY",26120,"2017","03","VA"
"4385","Locality: 595 EMPORIA CITY",3477,"2017","03","VA"
"4392","Locality: 600 FAIRFAX CITY",15059,"2017","03","VA"
"4398","Locality: 610 FALLS CHURCH CITY",9365,"2017","03","VA"
"4401","Locality: 620 FRANKLIN CITY",5267,"2017","03","VA"
"4407","Locality: 630 FREDERICKSBURG CITY",15382,"2017","03","VA"
"4412","Locality: 640 GALAX CITY",3405,"2017","03","VA"
"4415","Locality: 650 HAMPTON CITY",84734,"2017","03","VA"
"4445","Locality: 660 HARRISONBURG CITY",23227,"2017","03","VA"
"4453","Locality: 670 HOPEWELL CITY",13024,"2017","03","VA"
"4460","Locality: 678 LEXINGTON CITY",3698,"2017","03","VA"
"4461","Locality: 680 LYNCHBURG CITY",48795,"2017","03","VA"
"4479","Locality: 683 MANASSAS CITY",20432,"2017","03","VA"
"4485","Locality: 685 MANASSAS PARK CITY",7092,"2017","03","VA"
"4488","Locality: 690 MARTINSVILLE CITY",8158,"2017","03","VA"
"4494","Locality: 700 NEWPORT NEWS CITY",106221,"2017","03","VA"
"4539","Locality: 710 NORFOLK CITY",114179,"2017","03","VA"
"4588","Locality: 720 NORTON CITY",2174,"2017","03","VA"
"4589","Locality: 730 PETERSBURG CITY",19546,"2017","03","VA"
"4596","Locality: 735 POQUOSON CITY",8623,"2017","03","VA"
"4599","Locality: 740 PORTSMOUTH CITY",58535,"2017","03","VA"
"4630","Locality: 750 RADFORD CITY",8448,"2017","03","VA"
"4633","Locality: 760 RICHMOND CITY",134163,"2017","03","VA"
"4698","Locality: 770 ROANOKE CITY",54316,"2017","03","VA"
"4719","Locality: 775 SALEM CITY",15948,"2017","03","VA"
"4729","Locality: 790 STAUNTON CITY",15105,"2017","03","VA"
"4734","Locality: 800 SUFFOLK CITY",56732,"2017","03","VA"
"4761","Locality: 810 VIRGINIA BEACH CITY",279760,"2017","03","VA"
"4859","Locality: 820 WAYNESBORO CITY",12250,"2017","03","VA"
"4863","Locality: 830 WILLIAMSBURG CITY",9431,"2017","03","VA"
"4865","Locality: 840 WINCHESTER CITY",14615,"2017","03","VA"
"4871","Locality: 001 ACCOMACK COUNTY",22584,"2017","04","VA"
"4887","Locality: 003 ALBEMARLE COUNTY",70741,"2017","04","VA"
"4915","Locality: 005 ALLEGHANY COUNTY",10083,"2017","04","VA"
"4927","Locality: 007 AMELIA COUNTY",8857,"2017","04","VA"
"4932","Locality: 009 AMHERST COUNTY",20183,"2017","04","VA"
"4943","Locality: 011 APPOMATTOX COUNTY",10398,"2017","04","VA"
"4952","Locality: 013 ARLINGTON COUNTY",151558,"2017","04","VA"
"5006","Locality: 015 AUGUSTA COUNTY",46119,"2017","04","VA"
"5031","Locality: 017 BATH COUNTY",3100,"2017","04","VA"
"5038","Locality: 019 BEDFORD COUNTY",53194,"2017","04","VA"
"5069","Locality: 021 BLAND COUNTY",4340,"2017","04","VA"
"5076","Locality: 023 BOTETOURT COUNTY",23098,"2017","04","VA"
"5086","Locality: 025 BRUNSWICK COUNTY",10304,"2017","04","VA"
"5099","Locality: 027 BUCHANAN COUNTY",14848,"2017","04","VA"
"5116","Locality: 029 BUCKINGHAM COUNTY",9863,"2017","04","VA"
"5126","Locality: 031 CAMPBELL COUNTY",35801,"2017","04","VA"
"5142","Locality: 033 CAROLINE COUNTY",18820,"2017","04","VA"
"5154","Locality: 035 CARROLL COUNTY",18417,"2017","04","VA"
"5172","Locality: 036 CHARLES CITY COUNTY",5284,"2017","04","VA"
"5175","Locality: 037 CHARLOTTE COUNTY",7879,"2017","04","VA"
"5182","Locality: 041 CHESTERFIELD COUNTY",222118,"2017","04","VA"
"5257","Locality: 043 CLARKE COUNTY",10208,"2017","04","VA"
"5264","Locality: 045 CRAIG COUNTY",3684,"2017","04","VA"
"5272","Locality: 047 CULPEPER COUNTY",29698,"2017","04","VA"
"5287","Locality: 049 CUMBERLAND COUNTY",6532,"2017","04","VA"
"5292","Locality: 051 DICKENSON COUNTY",9853,"2017","04","VA"
"5302","Locality: 053 DINWIDDIE COUNTY",18163,"2017","04","VA"
"5315","Locality: 057 ESSEX COUNTY",7294,"2017","04","VA"
"5319","Locality: 059 FAIRFAX COUNTY",696025,"2017","04","VA"
"5562","Locality: 061 FAUQUIER COUNTY",46987,"2017","04","VA"
"5582","Locality: 063 FLOYD COUNTY",10393,"2017","04","VA"
"5587","Locality: 065 FLUVANNA COUNTY",17173,"2017","04","VA"
"5592","Locality: 067 FRANKLIN COUNTY",34535,"2017","04","VA"
"5615","Locality: 069 FREDERICK COUNTY",53811,"2017","04","VA"
"5636","Locality: 071 GILES COUNTY",10850,"2017","04","VA"
"5645","Locality: 073 GLOUCESTER COUNTY",25966,"2017","04","VA"
"5656","Locality: 075 GOOCHLAND COUNTY",16864,"2017","04","VA"
"5666","Locality: 077 GRAYSON COUNTY",9909,"2017","04","VA"
"5681","Locality: 079 GREENE COUNTY",12480,"2017","04","VA"
"5686","Locality: 081 GREENSVILLE COUNTY",6156,"2017","04","VA"
"5695","Locality: 083 HALIFAX COUNTY",22875,"2017","04","VA"
"5716","Locality: 085 HANOVER COUNTY",74201,"2017","04","VA"
"5752","Locality: 087 HENRICO COUNTY",207132,"2017","04","VA"
"5845","Locality: 089 HENRY COUNTY",33531,"2017","04","VA"
"5869","Locality: 091 HIGHLAND COUNTY",1756,"2017","04","VA"
"5875","Locality: 093 ISLE OF WIGHT COUNTY",26310,"2017","04","VA"
"5889","Locality: 095 JAMES CITY COUNTY",53124,"2017","04","VA"
"5908","Locality: 097 KING & QUEEN COUNTY",4793,"2017","04","VA"
"5913","Locality: 099 KING GEORGE COUNTY",15685,"2017","04","VA"
"5918","Locality: 101 KING WILLIAM COUNTY",11441,"2017","04","VA"
"5924","Locality: 103 LANCASTER COUNTY",8307,"2017","04","VA"
"5930","Locality: 105 LEE COUNTY",14394,"2017","04","VA"
"5946","Locality: 107 LOUDOUN COUNTY",229319,"2017","04","VA"
"6039","Locality: 109 LOUISA COUNTY",22760,"2017","04","VA"
"6054","Locality: 111 LUNENBURG COUNTY",7465,"2017","04","VA"
"6065","Locality: 113 MADISON COUNTY",8802,"2017","04","VA"
"6074","Locality: 115 MATHEWS COUNTY",6673,"2017","04","VA"
"6077","Locality: 117 MECKLENBURG COUNTY",20319,"2017","04","VA"
"6100","Locality: 119 MIDDLESEX COUNTY",7611,"2017","04","VA"
"6106","Locality: 121 MONTGOMERY COUNTY",55318,"2017","04","VA"
"6130","Locality: 125 NELSON COUNTY",10566,"2017","04","VA"
"6139","Locality: 127 NEW KENT COUNTY",14617,"2017","04","VA"
"6149","Locality: 131 NORTHAMPTON COUNTY",8659,"2017","04","VA"
"6154","Locality: 133 NORTHUMBERLAND COUNTY",9221,"2017","04","VA"
"6160","Locality: 135 NOTTOWAY COUNTY",8694,"2017","04","VA"
"6169","Locality: 137 ORANGE COUNTY",22636,"2017","04","VA"
"6179","Locality: 139 PAGE COUNTY",14856,"2017","04","VA"
"6184","Locality: 141 PATRICK COUNTY",11564,"2017","04","VA"
"6197","Locality: 143 PITTSYLVANIA COUNTY",41313,"2017","04","VA"
"6226","Locality: 145 POWHATAN COUNTY",20113,"2017","04","VA"
"6238","Locality: 147 PRINCE EDWARD COUNTY",12632,"2017","04","VA"
"6248","Locality: 149 PRINCE GEORGE COUNTY",21105,"2017","04","VA"
"6258","Locality: 153 PRINCE WILLIAM COUNTY",256497,"2017","04","VA"
"6349","Locality: 155 PULASKI COUNTY",20904,"2017","04","VA"
"6361","Locality: 157 RAPPAHANNOCK COUNTY",5590,"2017","04","VA"
"6367","Locality: 159 RICHMOND COUNTY",4902,"2017","04","VA"
"6372","Locality: 161 ROANOKE COUNTY",65404,"2017","04","VA"
"6404","Locality: 163 ROCKBRIDGE COUNTY",13926,"2017","04","VA"
"6421","Locality: 165 ROCKINGHAM COUNTY",47308,"2017","04","VA"
"6451","Locality: 167 RUSSELL COUNTY",17959,"2017","04","VA"
"6466","Locality: 169 SCOTT COUNTY",14467,"2017","04","VA"
"6483","Locality: 171 SHENANDOAH COUNTY",26864,"2017","04","VA"
"6495","Locality: 173 SMYTH COUNTY",18254,"2017","04","VA"
"6509","Locality: 175 SOUTHAMPTON COUNTY",11656,"2017","04","VA"
"6522","Locality: 177 SPOTSYLVANIA COUNTY",82364,"2017","04","VA"
"6548","Locality: 179 STAFFORD COUNTY",85509,"2017","04","VA"
"6575","Locality: 181 SURRY COUNTY",5245,"2017","04","VA"
"6582","Locality: 183 SUSSEX COUNTY",6618,"2017","04","VA"
"6593","Locality: 185 TAZEWELL COUNTY",26550,"2017","04","VA"
"6617","Locality: 187 WARREN COUNTY",24126,"2017","04","VA"
"6628","Locality: 191 WASHINGTON COUNTY",34467,"2017","04","VA"
"6647","Locality: 193 WESTMORELAND COUNTY",11562,"2017","04","VA"
"6655","Locality: 195 WISE COUNTY",21940,"2017","04","VA"
"6667","Locality: 197 WYTHE COUNTY",18047,"2017","04","VA"
"6678","Locality: 199 YORK COUNTY",42115,"2017","04","VA"
"6691","Locality: 510 ALEXANDRIA CITY",94014,"2017","04","VA"
"6718","Locality: 520 BRISTOL CITY",10193,"2017","04","VA"
"6722","Locality: 530 BUENA VISTA CITY",3687,"2017","04","VA"
"6724","Locality: 540 CHARLOTTESVILLE CITY",29561,"2017","04","VA"
"6733","Locality: 550 CHESAPEAKE CITY",145711,"2017","04","VA"
"6796","Locality: 570 COLONIAL HEIGHTS CITY",11528,"2017","04","VA"
"6801","Locality: 580 COVINGTON CITY",3437,"2017","04","VA"
"6806","Locality: 590 DANVILLE CITY",26218,"2017","04","VA"
"6822","Locality: 595 EMPORIA CITY",3491,"2017","04","VA"
"6829","Locality: 600 FAIRFAX CITY",15092,"2017","04","VA"
"6835","Locality: 610 FALLS CHURCH CITY",9395,"2017","04","VA"
"6838","Locality: 620 FRANKLIN CITY",5272,"2017","04","VA"
"6844","Locality: 630 FREDERICKSBURG CITY",15452,"2017","04","VA"
"6849","Locality: 640 GALAX CITY",3419,"2017","04","VA"
"6852","Locality: 650 HAMPTON CITY",84930,"2017","04","VA"
"6882","Locality: 660 HARRISONBURG CITY",23238,"2017","04","VA"
"6890","Locality: 670 HOPEWELL CITY",13076,"2017","04","VA"
"6897","Locality: 678 LEXINGTON CITY",3690,"2017","04","VA"
"6898","Locality: 680 LYNCHBURG CITY",48968,"2017","04","VA"
"6916","Locality: 683 MANASSAS CITY",20459,"2017","04","VA"
"6922","Locality: 685 MANASSAS PARK CITY",7136,"2017","04","VA"
"6925","Locality: 690 MARTINSVILLE CITY",8185,"2017","04","VA"
"6931","Locality: 700 NEWPORT NEWS CITY",106718,"2017","04","VA"
"6976","Locality: 710 NORFOLK CITY",114498,"2017","04","VA"
